Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 53.92      0.97     0.97  3793635     0.00     0.00  LexRank(int*, int&, int&, unsigned int**)
  7.26      1.10     0.13    68850     0.00     0.02  BestSymbol(int*, int*, int, Cover&, Used const&)
  2.79      1.15     0.05  6283292     0.00     0.00  z3::context::check_error() const
  2.51      1.19     0.05  1541725     0.00     0.00  LexSuccessor(int*, int, int&)
  2.23      1.23     0.04  5184378     0.00     0.00  z3::ast::~ast()
  2.23      1.27     0.04   864004     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  1.68      1.30     0.03 19244300     0.00     0.00  z3::context::operator _Z3_context*() const
  1.68      1.33     0.03  8011512     0.00     0.00  z3::object::ctx() const
  1.68      1.36     0.03   864006     0.00     0.00  z3::context::real_val(char const*)
  1.68      1.39     0.03    78300     0.00     0.01  CA_SMT::add_constraints(std::vector<int, std::allocator<int> >)
  1.40      1.42     0.03  5184346     0.00     0.00  z3::sort::operator _Z3_sort*() const
  1.40      1.44     0.03  5184328     0.00     0.00  z3::ast::ast(z3::context&, _Z3_ast*)
  1.40      1.47     0.03  4320300     0.00     0.00  z3::sort::sort_kind() const
  1.12      1.49     0.02  1728128     0.00     0.00  z3::expr::is_arith() const
  1.12      1.51     0.02   539214     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  1.12      1.53     0.02       20     1.00     1.00  std::vector<z3::expr, std::allocator<z3::expr> >::back()
  0.56      1.54     0.01  4555200     0.00     0.00  z3::object::check_error() const
  0.56      1.55     0.01  2592172     0.00     0.00  z3::ast::operator _Z3_ast*() const
  0.56      1.56     0.01  2169495     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.56      1.57     0.01  1728128     0.00     0.00  z3::sort::is_int() const
  0.56      1.58     0.01  1728128     0.00     0.00  z3::sort::is_real() const
  0.56      1.59     0.01   864060     0.00     0.00  std::vector<z3::expr, std::allocator<z3::expr> >::operator[](unsigned long)
  0.56      1.60     0.01   864044     0.00     0.00  z3::solver::add(z3::expr const&)
